img-dnn,xapian,masstree,50,20,100,hist
1.469,6.548,5.575,0.02938,0.3274,0.05575,0.13751
1.966,5.645,3.8,0.03932,0.28225,0.038,0.119856667
1.998,4.61,6.022,0.03996,0.2305,0.06022,0.110226667
1.524,5.355,3.254,0.03048,0.26775,0.03254,0.110256667
1.848,5.794,3.305,0.03696,0.2897,0.03305,0.119903333
1.482,5.453,3.3,0.02964,0.27265,0.033,0.111763333
1.757,4.778,3.134,0.03514,0.2389,0.03134,0.101793333
1.615,5.041,3.362,0.0323,0.25205,0.03362,0.10599
1.97,5.524,3.132,0.0394,0.2762,0.03132,0.11564
1.717,4.848,4.716,0.03434,0.2424,0.04716,0.107966667
1.942,5.685,3.344,0.03884,0.28425,0.03344,0.118843333
1.688,6.598,4.647,0.03376,0.3299,0.04647,0.13671
1.738,6.261,4.585,0.03476,0.31305,0.04585,0.13122
1.496,5.475,3.294,0.02992,0.27375,0.03294,0.112203333
1.615,6.28,4.779,0.0323,0.314,0.04779,0.131363333
1.502,5.653,3.668,0.03004,0.28265,0.03668,0.116456667
3.824,4.715,7.371,0.07648,0.23575,0.07371,0.128646667
2.212,5.37,5.912,0.04424,0.2685,0.05912,0.123953333
1.666,4.847,3.383,0.03332,0.24235,0.03383,0.103166667
1.749,5.055,3.33,0.03498,0.25275,0.0333,0.10701
1.637,5.081,3.455,0.03274,0.25405,0.03455,0.107113333
1.683,8.763,4.579,0.03366,0.43815,0.04579,0.172533333
1.624,5.117,3.25,0.03248,0.25585,0.0325,0.106943333
1.978,5.743,3.205,0.03956,0.28715,0.03205,0.119586667
1.661,29.709,4.57,0.03322,1.48545,0.0457,0.521456667
2.357,4.815,3.73,0.04714,0.24075,0.0373,0.108396667
3.645,4.826,5.813,0.0729,0.2413,0.05813,0.12411
3.644,4.793,7.03,0.07288,0.23965,0.0703,0.12761
1.916,5.664,3.59,0.03832,0.2832,0.0359,0.11914
3.244,4.902,5.928,0.06488,0.2451,0.05928,0.123086667
2.032,5.326,3.433,0.04064,0.2663,0.03433,0.113756667
1.748,4.938,4.717,0.03496,0.2469,0.04717,0.109676667
1.676,4.845,3.128,0.03352,0.24225,0.03128,0.10235
1.707,5.836,46.584,0.03414,0.2918,0.46584,0.263926667
1.696,4.835,3.445,0.03392,0.24175,0.03445,0.103373333
1.658,5.686,41.186,0.03316,0.2843,0.41186,0.243106667
3.665,4.772,5.502,0.0733,0.2386,0.05502,0.122306667
1.853,6.696,40.284,0.03706,0.3348,0.40284,0.258233333
2.072,5.612,3.301,0.04144,0.2806,0.03301,0.11835
1.722,5.1,3.223,0.03444,0.255,0.03223,0.107223333
1.937,4.701,3.174,0.03874,0.23505,0.03174,0.101843333
3.983,4.884,5.69,0.07966,0.2442,0.0569,0.12692
1.951,4.769,3.31,0.03902,0.23845,0.0331,0.103523333
3.284,5.735,4.77,0.06568,0.28675,0.0477,0.133376667
1.86,5.801,5.635,0.0372,0.29005,0.05635,0.127866667
1.879,4.8,3.584,0.03758,0.24,0.03584,0.104473333
1.986,4.922,3.469,0.03972,0.2461,0.03469,0.106836667
3.235,4.857,5.634,0.0647,0.24285,0.05634,0.121296667
3.371,8.73,7.027,0.06742,0.4365,0.07027,0.191396667
1.872,4.58,3.75,0.03744,0.229,0.0375,0.101313333
1.833,4.951,5.891,0.03666,0.24755,0.05891,0.114373333
1.906,8.896,3.302,0.03812,0.4448,0.03302,0.17198
1.645,4.814,3.415,0.0329,0.2407,0.03415,0.102583333
2.032,6.666,53.92,0.04064,0.3333,0.5392,0.30438
1.949,2732.649,7.089,0.03898,136.63245,0.07089,45.58077333
4.567,4.881,5.948,0.09134,0.24405,0.05948,0.131623333
1.708,5.735,65.729,0.03416,0.28675,0.65729,0.326066667
1.643,4.876,6.006,0.03286,0.2438,0.06006,0.11224
1.778,6.265,4.836,0.03556,0.31325,0.04836,0.13239
1.895,8.658,3.323,0.0379,0.4329,0.03323,0.16801
1.931,5.69,3.245,0.03862,0.2845,0.03245,0.118523333
1.76,4.816,3.157,0.0352,0.2408,0.03157,0.102523333
1.691,6.582,4.838,0.03382,0.3291,0.04838,0.1371
2.302,6.309,3.761,0.04604,0.31545,0.03761,0.133033333
6.472,5.444,3.501,0.12944,0.2722,0.03501,0.14555
2.921,4.754,7.467,0.05842,0.2377,0.07467,0.123596667
1.951,4.695,3.349,0.03902,0.23475,0.03349,0.10242
3.188,5.129,3.468,0.06376,0.25645,0.03468,0.118296667
2.379,6.616,3.569,0.04758,0.3308,0.03569,0.138023333
2.179,6.656,61.63,0.04358,0.3328,0.6163,0.330893333
1.937,5.901,3.614,0.03874,0.29505,0.03614,0.12331
1.721,6.257,4.983,0.03442,0.31285,0.04983,0.132366667
1.708,4.802,3.217,0.03416,0.2401,0.03217,0.102143333
1.936,9.132,3.477,0.03872,0.4566,0.03477,0.176696667
1.688,4.85,3.829,0.03376,0.2425,0.03829,0.10485
5.875,4.779,6.056,0.1175,0.23895,0.06056,0.139003333
5.051,5.763,4.71,0.10102,0.28815,0.0471,0.145423333
1.995,4.793,5.605,0.0399,0.23965,0.05605,0.111866667
1.657,4.887,3.255,0.03314,0.24435,0.03255,0.103346667
1.864,5.514,63.601,0.03728,0.2757,0.63601,0.31633
1.98,4.718,3.282,0.0396,0.2359,0.03282,0.102773333
1.884,4.719,3.232,0.03768,0.23595,0.03232,0.101983333
1.755,5.462,64.705,0.0351,0.2731,0.64705,0.318416667
1.941,4.802,3.17,0.03882,0.2401,0.0317,0.10354
